service_request_id,requested_datetime,service_name,agency_responsible,zipcode,status,days_to_close,lat,lon
1000195,2024-04-17 23:19:00,Street Light Outage,License & Inspections,19145,Open,4.78,40.04023,-75.12344
1000395,2024-04-18 21:42:00,Illegal Dumping,Police Department,19107,Closed,9.1,40.0005,-75.18024
1000068,2024-04-21 06:40:00,Street Light Outage,License & Inspections,19143,Closed,5.13,39.89153,-75.15348
1000054,2024-04-21 13:23:00,Traffic Signal Emergency,Streets Department,19143,Closed,14.19,39.95523,-75.18841
1000010,2024-04-23 06:38:00,Street Light Outage,License & Inspections,19139,Closed,21.13,39.86926,-75.11357
1000059,2024-04-24 13:07:00,Street Light Outage,Parks & Recreation,19139,Open,10.87,39.91789,-75.14826
1000245,2024-04-29 05:48:00,Rubbish Collection,License & Inspections,19149,Open,13.33,39.95947,-75.15494
1000142,2024-05-01 01:56:00,Street Light Outage,License & Inspections,19121,Closed,17.68,39.93321,-75.13466
1000134,2024-05-01 16:35:00,Graffiti Removal,Parks & Recreation,19146,Closed,11.79,39.85586,-75.21963
1000017,2024-05-05 23:33:00,Graffiti Removal,Parks & Recreation,19147,Closed,21.01,39.94019,-75.20666
1000130,2024-05-07 01:34:00,Street Light Outage,Parks & Recreation,19121,Closed,6.89,39.93298,-75.18458
1000188,2024-05-07 21:40:00,Maintenance Residential or Commercial,License & Inspections,19147,Closed,4.14,39.93809,-75.18468
1000299,2024-05-09 17:06:00,Illegal Dumping,Streets Department,19123,Closed,10.99,39.95406,-75.08136
1000234,2024-05-12 19:54:00,Rubbish Collection,Police Department,19145,In Progress,5.8,39.99232,-75.21941
1000221,2024-05-16 06:39:00,Illegal Dumping,Parks & Recreation,19125,Closed,3.09,39.99581,-75.21929
1000050,2024-05-17 12:12:00,Graffiti Removal,Parks & Recreation,19119,Closed,34.47,39.93775,-75.15802
1000285,2024-05-18 02:16:00,Rubbish Collection,Streets Department,19121,Open,20.41,39.92227,-75.17201
1000202,2024-05-18 05:11:00,Street Light Outage,Streets Department,19148,Closed,10.51,39.9311,-75.14817
1000337,2024-05-18 15:23:00,Rubbish Collection,License & Inspections,19148,Closed,19.79,39.98014,-75.12257
1000019,2024-05-21 23:37:00,Street Light Outage,Parks & Recreation,19121,Closed,2.8,39.99356,-75.19598
1000122,2024-05-22 10:27:00,Maintenance Residential or Commercial,License & Inspections,19102,Closed,32.07,40.01814,-75.1831
1000023,2024-05-22 13:38:00,Street Light Outage,Streets Department,19119,Closed,19.34,40.0153,-75.14068
1000014,2024-05-22 23:29:00,Maintenance Residential or Commercial,Parks & Recreation,19130,In Progress,3.38,40.0009,-75.13527
1000200,2024-05-26 18:35:00,Graffiti Removal,Parks & Recreation,19146,Closed,6.25,39.92598,-75.17412
1000119,2024-05-27 11:10:00,Rubbish Collection,Streets Department,19130,Closed,7.22,40.02908,-75.23297
1000295,2024-05-27 14:36:00,Abandoned Vehicle,Police Department,19134,Closed,12.81,39.87228,-75.20498
1000348,2024-05-28 06:01:00,Street Light Outage,License & Inspections,19143,In Progress,12.87,39.90687,-75.07592
1000339,2024-05-29 04:34:00,Rubbish Collection,License & Inspections,19123,Closed,20.75,39.97065,-75.14159
1000112,2024-05-30 16:04:00,Maintenance Residential or Commercial,Streets Department,19130,Open,15.86,39.95748,-75.15913
1000123,2024-06-02 13:58:00,Graffiti Removal,Streets Department,19147,Closed,8.39,39.92619,-75.22612
1000222,2024-06-04 00:59:00,Street Light Outage,Police Department,19104,Closed,9.71,40.04878,-75.22163
1000187,2024-06-06 04:29:00,Illegal Dumping,Police Department,19107,Closed,13.92,39.94597,-75.04213
1000389,2024-06-06 22:58:00,Rubbish Collection,Police Department,19147,Open,11.98,40.01133,-75.14502
1000277,2024-06-07 11:29:00,Traffic Signal Emergency,Streets Department,19132,Closed,16.14,39.95914,-75.11036
1000022,2024-06-08 13:36:00,Illegal Dumping,Police Department,19132,Closed,29.69,39.88702,-75.19675
1000149,2024-06-12 08:34:00,Abandoned Vehicle,Police Department,19121,Closed,10.72,39.94951,-75.1018
1000353,2024-06-14 14:44:00,Street Light Outage,Police Department,19147,Open,13.89,39.95681,-75.13729
1000249,2024-06-15 07:17:00,Maintenance Residential or Commercial,Streets Department,19132,Closed,37.58,39.9595,-75.10174
1000015,2024-06-16 05:07:00,Street Light Outage,License & Inspections,19149,Closed,20.66,39.98657,-75.06668
1000351,2024-06-17 09:40:00,Rubbish Collection,License & Inspections,19132,Closed,10.26,39.90178,-75.12366
1000069,2024-06-17 12:28:00,Street Light Outage,Streets Department,19130,Closed,10.64,39.96004,-75.23089
1000246,2024-06-17 14:17:00,Traffic Signal Emergency,Streets Department,19146,Closed,9.6,39.98158,-75.10581
1000338,2024-06-19 04:11:00,Illegal Dumping,Streets Department,19146,In Progress,8.2,39.91779,-75.20545
1000034,2024-06-20 17:10:00,Pothole Repair,Police Department,19125,Open,6.06,40.00404,-75.17155
1000102,2024-06-20 20:50:00,Illegal Dumping,Parks & Recreation,19147,Closed,29.28,39.96017,-75.16134
1000146,2024-06-23 10:47:00,Illegal Dumping,Streets Department,19134,In Progress,11.93,40.02298,-75.20574
1000225,2024-06-24 02:28:00,Maintenance Residential or Commercial,Parks & Recreation,19147,In Progress,9.39,39.97356,-75.15292
1000128,2024-06-26 17:51:00,Maintenance Residential or Commercial,Parks & Recreation,19107,Closed,13.6,39.90784,-75.1902
1000113,2024-07-04 05:56:00,Abandoned Vehicle,Parks & Recreation,19123,Open,9.35,40.00889,-75.19017
1000175,2024-07-05 21:43:00,Abandoned Vehicle,Streets Department,19146,In Progress,18.51,39.93743,-75.23281
1000304,2024-07-06 04:54:00,Graffiti Removal,Parks & Recreation,19143,Open,25.03,39.88255,-75.06656
1000139,2024-07-08 05:07:00,Pothole Repair,Police Department,19134,Closed,18.73,39.84135,-75.15482
1000264,2024-07-10 05:12:00,Maintenance Residential or Commercial,Streets Department,19145,Closed,8.21,39.90598,-75.11486
1000049,2024-07-10 20:47:00,Maintenance Residential or Commercial,Streets Department,19106,Closed,9.89,39.97586,-75.18749
1000329,2024-07-11 07:07:00,Pothole Repair,Police Department,19123,Open,3.95,39.91684,-75.0974
1000355,2024-07-11 12:50:00,Graffiti Removal,License & Inspections,19130,Closed,16.36,39.92615,-75.18761
1000190,2024-07-17 11:35:00,Graffiti Removal,Police Department,19139,Closed,13.97,39.9383,-75.24677
1000220,2024-07-19 08:36:00,Pothole Repair,License & Inspections,19102,Open,8.03,39.94786,-75.17365
1000041,2024-07-22 03:50:00,Illegal Dumping,Police Department,19134,Closed,12.94,40.00045,-75.26406
1000000,2024-07-23 07:10:00,Abandoned Vehicle,Parks & Recreation,19143,Closed,10.5,40.02455,-75.0896
1000364,2024-07-28 12:27:00,Traffic Signal Emergency,Police Department,19104,Closed,16.28,39.93546,-75.13877
1000314,2024-07-29 17:53:00,Traffic Signal Emergency,License & Inspections,19132,In Progress,7.55,39.97289,-75.213
1000006,2024-07-31 00:15:00,Rubbish Collection,Streets Department,19147,Closed,8.11,39.97291,-75.17904
1000172,2024-08-01 04:19:00,Abandoned Vehicle,License & Inspections,19125,Closed,10.79,39.87842,-75.2173
1000075,2024-08-01 23:10:00,Abandoned Vehicle,Streets Department,19134,Open,24.27,39.94632,-75.15658
1000359,2024-08-03 17:26:00,Abandoned Vehicle,Parks & Recreation,19107,Closed,14.46,39.94231,-75.11525
1000284,2024-08-04 21:03:00,Rubbish Collection,Police Department,19121,Closed,3.14,39.87172,-75.11812
1000115,2024-08-06 06:01:00,Traffic Signal Emergency,Streets Department,19134,Open,22.56,39.90575,-75.14425
1000008,2024-08-06 11:31:00,Graffiti Removal,Police Department,19148,Closed,10.99,39.86145,-75.14321
1000191,2024-08-06 21:06:00,Illegal Dumping,Parks & Recreation,19107,Open,3.88,40.01088,-75.10251
1000074,2024-08-07 18:20:00,Maintenance Residential or Commercial,Streets Department,19148,Closed,22.79,39.87033,-75.20497
1000031,2024-08-11 18:50:00,Pothole Repair,Police Department,19102,Closed,6.89,40.01192,-75.09499
1000103,2024-08-11 23:01:00,Street Light Outage,License & Inspections,19123,Closed,2.89,39.86437,-75.1424
1000255,2024-08-12 13:20:00,Traffic Signal Emergency,License & Inspections,19104,Closed,12.15,39.94888,-75.23197
1000385,2024-08-12 15:42:00,Maintenance Residential or Commercial,Streets Department,19149,Open,6.15,39.97823,-75.29439
1000380,2024-08-14 21:46:00,Abandoned Vehicle,Streets Department,19146,In Progress,11.31,39.95608,-75.18031
1000047,2024-08-18 05:42:00,Maintenance Residential or Commercial,Streets Department,19104,Closed,6.22,39.94854,-75.17288
1000331,2024-08-23 04:23:00,Graffiti Removal,License & Inspections,19139,Open,15.99,39.91002,-75.13774
1000048,2024-08-23 22:28:00,Traffic Signal Emergency,Streets Department,19134,Closed,32.31,39.85679,-75.25481
1000281,2024-08-24 07:28:00,Rubbish Collection,License & Inspections,19102,Closed,6.63,39.91604,-75.22848
1000204,2024-08-27 13:00:00,Illegal Dumping,Police Department,19123,Open,14.63,39.87777,-75.1488
1000229,2024-08-28 04:33:00,Pothole Repair,Parks & Recreation,19148,Closed,17.03,39.97815,-75.123
1000025,2024-08-29 13:31:00,Rubbish Collection,Streets Department,19125,Closed,16.69,39.95408,-75.11902
1000321,2024-09-02 15:45:00,Street Light Outage,License & Inspections,19123,Closed,4.36,39.97666,-75.24325
1000322,2024-09-03 02:55:00,Abandoned Vehicle,Police Department,19125,Closed,7.79,39.99454,-75.13854
1000052,2024-09-05 04:10:00,Abandoned Vehicle,License & Inspections,19148,Open,16.85,39.89498,-75.2322
1000288,2024-09-08 21:29:00,Maintenance Residential or Commercial,License & Inspections,19125,Closed,40.63,39.91866,-75.17271
1000323,2024-09-08 23:24:00,Maintenance Residential or Commercial,License & Inspections,19106,Closed,33.74,39.94324,-75.20469
1000243,2024-09-10 02:31:00,Graffiti Removal,License & Inspections,19121,Closed,13.15,39.9902,-75.19769
1000076,2024-09-10 12:54:00,Traffic Signal Emergency,Parks & Recreation,19107,Closed,18.23,39.93045,-75.2288
1000309,2024-09-12 17:05:00,Graffiti Removal,License & Inspections,19125,Closed,8.46,40.00742,-75.21951
1000114,2024-09-13 10:05:00,Rubbish Collection,Police Department,19107,Closed,23.24,39.98728,-75.173
1000132,2024-09-17 04:27:00,Traffic Signal Emergency,License & Inspections,19132,Open,5.15,39.94263,-75.1089
1000186,2024-09-17 22:14:00,Graffiti Removal,License & Inspections,19139,Open,6.55,39.96204,-75.11664
1000392,2024-09-22 13:14:00,Traffic Signal Emergency,Streets Department,19130,Closed,9.17,39.97944,-75.15481
1000028,2024-09-22 19:48:00,Rubbish Collection,Police Department,19132,Closed,6.87,39.97342,-75.17121
1000152,2024-09-26 22:35:00,Pothole Repair,Streets Department,19143,Closed,5.74,39.93106,-75.1427
1000205,2024-09-27 19:53:00,Pothole Repair,License & Inspections,19139,Closed,18.92,39.9799,-75.1288
1000326,2024-09-27 21:01:00,Illegal Dumping,License & Inspections,19132,In Progress,11.58,40.04552,-75.19614
1000315,2024-09-29 06:53:00,Graffiti Removal,Parks & Recreation,19130,Closed,28.41,39.95088,-75.14809
1000233,2024-10-04 20:09:00,Graffiti Removal,Parks & Recreation,19119,Open,7.57,39.94922,-75.24378
1000021,2024-10-09 07:22:00,Traffic Signal Emergency,Streets Department,19104,Closed,17.94,40.00693,-75.16262
1000272,2024-10-11 04:52:00,Maintenance Residential or Commercial,Parks & Recreation,19125,Closed,18.55,39.95461,-75.14549
1000124,2024-10-12 18:18:00,Rubbish Collection,Police Department,19145,Closed,7.88,39.92401,-75.17407
1000232,2024-10-13 06:59:00,Illegal Dumping,Police Department,19123,In Progress,27.24,39.90581,-75.18591
1000035,2024-10-15 22:30:00,Maintenance Residential or Commercial,Streets Department,19146,Closed,15.63,39.98441,-75.16773
1000165,2024-10-19 08:10:00,Abandoned Vehicle,License & Inspections,19148,Closed,4.15,39.87596,-75.15757
1000291,2024-10-23 04:05:00,Pothole Repair,Parks & Recreation,19146,Closed,26.58,39.98865,-75.3049
1000096,2024-10-23 16:03:00,Pothole Repair,Parks & Recreation,19139,Closed,14.01,39.84758,-75.2313
1000199,2024-10-26 11:34:00,Traffic Signal Emergency,Police Department,19145,Closed,11.81,39.96042,-75.22856
1000377,2024-10-28 01:06:00,Rubbish Collection,Streets Department,19146,In Progress,5.65,39.87054,-75.12666
1000032,2024-10-28 15:55:00,Pothole Repair,Police Department,19125,Closed,13.21,39.88562,-75.22028
1000135,2024-11-01 18:58:00,Abandoned Vehicle,Parks & Recreation,19132,Closed,7.08,39.92375,-75.22937
1000227,2024-11-02 00:56:00,Street Light Outage,Police Department,19147,Closed,12.75,39.97202,-75.2112
1000318,2024-11-04 09:45:00,Maintenance Residential or Commercial,Parks & Recreation,19107,Closed,6.14,39.97394,-75.09344
1000354,2024-11-05 15:48:00,Maintenance Residential or Commercial,Police Department,19134,Closed,5.99,39.90889,-75.24471
1000252,2024-11-05 21:17:00,Abandoned Vehicle,License & Inspections,19149,Closed,26.43,40.00843,-75.20808
1000317,2024-11-06 03:15:00,Illegal Dumping,License & Inspections,19106,Open,13.14,39.95818,-75.19351
1000137,2024-11-08 05:39:00,Maintenance Residential or Commercial,Streets Department,19125,In Progress,13.87,39.97066,-75.1667
1000065,2024-11-08 13:31:00,Street Light Outage,Parks & Recreation,19132,Closed,9.03,39.93029,-75.1285
1000177,2024-11-08 13:42:00,Graffiti Removal,Police Department,19146,Open,14.38,39.99522,-75.22963
1000013,2024-11-13 12:19:00,Maintenance Residential or Commercial,License & Inspections,19123,Closed,34.58,39.97327,-75.21979
1000372,2024-11-14 10:46:00,Abandoned Vehicle,License & Inspections,19143,Closed,7.2,39.96716,-75.1543
1000345,2024-11-16 09:21:00,Maintenance Residential or Commercial,Parks & Recreation,19107,Closed,12.03,39.86686,-75.1158
1000283,2024-11-16 16:58:00,Abandoned Vehicle,License & Inspections,19121,Closed,6.51,39.94036,-75.20773
1000231,2024-11-16 17:08:00,Abandoned Vehicle,Police Department,19134,Closed,15.57,39.98801,-75.18992
1000194,2024-11-16 18:59:00,Maintenance Residential or Commercial,Parks & Recreation,19134,Closed,38.45,40.00297,-75.12742
1000192,2024-11-18 03:42:00,Abandoned Vehicle,Police Department,19107,Closed,31.31,39.89113,-75.18985
1000027,2024-11-20 07:14:00,Illegal Dumping,License & Inspections,19143,In Progress,21.88,39.8863,-75.12537
1000371,2024-11-26 16:30:00,Illegal Dumping,Parks & Recreation,19107,Closed,9.5,39.96298,-75.19807
1000029,2024-11-27 04:16:00,Traffic Signal Emergency,Parks & Recreation,19104,Closed,3.79,39.91776,-75.08886
1000237,2024-11-28 01:40:00,Maintenance Residential or Commercial,Streets Department,19143,Closed,6.96,39.97474,-75.13553
1000153,2024-11-29 18:59:00,Street Light Outage,Police Department,19143,Closed,16.94,39.93498,-75.15991
1000051,2024-11-30 12:31:00,Traffic Signal Emergency,Streets Department,19132,Open,8.3,39.96957,-75.15161
1000118,2024-12-01 02:42:00,Rubbish Collection,License & Inspections,19104,Open,10.86,39.98929,-75.09798
1000073,2024-12-01 07:26:00,Traffic Signal Emergency,License & Inspections,19123,Open,8.73,39.89678,-75.21646
1000038,2024-12-04 21:11:00,Street Light Outage,Streets Department,19148,Open,11.89,39.87664,-75.1694
1000276,2024-12-06 10:09:00,Abandoned Vehicle,License & Inspections,19146,Open,8.64,39.99503,-75.11928
1000301,2024-12-06 15:39:00,Maintenance Residential or Commercial,Police Department,19130,Closed,9.49,39.97773,-75.10487
1000213,2024-12-06 18:12:00,Abandoned Vehicle,Streets Department,19125,Closed,32.11,39.96989,-75.09606
1000131,2024-12-08 17:10:00,Graffiti Removal,Police Department,19148,Open,29.15,39.98321,-75.17605
1000120,2024-12-11 06:15:00,Maintenance Residential or Commercial,Streets Department,19147,Closed,11.76,39.86131,-75.15756
1000388,2024-12-11 14:29:00,Rubbish Collection,License & Inspections,19139,Closed,26.43,39.85996,-75.14382
1000347,2024-12-11 23:23:00,Rubbish Collection,Streets Department,19139,Closed,23.41,39.96557,-75.22731
1000140,2024-12-14 05:54:00,Maintenance Residential or Commercial,Police Department,19148,Closed,11.38,39.91129,-75.17319
1000350,2024-12-18 19:38:00,Street Light Outage,License & Inspections,19104,Closed,15.47,40.009,-75.13383
1000263,2024-12-23 16:10:00,Maintenance Residential or Commercial,Streets Department,19130,Closed,13.72,40.08749,-75.15723
1000100,2024-12-25 22:47:00,Graffiti Removal,Parks & Recreation,19148,Open,27.47,40.03005,-75.22766
1000016,2024-12-26 05:08:00,Maintenance Residential or Commercial,Parks & Recreation,19132,In Progress,5.45,39.95465,-75.13227
1000259,2024-12-30 18:08:00,Abandoned Vehicle,Police Department,19139,Open,17.04,40.00871,-75.19126
